COUNTRY,LAT,LONG,INDICATOR,DATE,VALUE,COUNTRY_ISO,DATE_EXTRACT
France,3.9339,-53.1258,Active cases,2022-03-15,77754,FRA,2022-03-16 16:01:52+0100
France,14.6415,-61.0242,Active cases,2022-03-15,130466,FRA,2022-03-16 16:01:52+0100
France,16.265,-61.551,Active cases,2022-03-15,127429,FRA,2022-03-16 16:01:52+0100
France,17.9,-62.8333,Active cases,2022-03-15,3774,FRA,2022-03-16 16:01:52+0100
France,18.0708,-63.0501,Active cases,2022-03-15,9849,FRA,2022-03-16 16:01:52+0100
France,46.2276,2.2137,Active cases,2022-03-15,22858038,FRA,2022-03-16 16:01:52+0100
France,46.8852,-56.3159,Active cases,2022-03-15,1553,FRA,2022-03-16 16:01:52+0100
Gabon,-0.8037,11.6094,Active cases,2022-03-15,47267,GAB,2022-03-16 16:01:52+0100
Gambia,13.4432,-15.3101,Active cases,2022-03-15,11608,GMB,2022-03-16 16:01:52+0100
Georgia,42.3154,43.3569,Active cases,2022-03-15,1621106,GEO,2022-03-16 16:01:52+0100
Germany,51.165691,10.451526,Active cases,2022-03-15,17606800,DEU,2022-03-16 16:01:52+0100
Ghana,7.9465,-1.0232,Active cases,2022-03-15,159316,GHA,2022-03-16 16:01:52+0100
Greece,39.0742,21.8243,Active cases,2022-03-15,2658230,GRC,2022-03-16 16:01:52+0100
Grenada,12.1165,-61.679,Active cases,2022-03-15,13474,GRD,2022-03-16 16:01:52+0100
Guatemala,15.7835,-90.2308,Active cases,2022-03-15,790283,GTM,2022-03-16 16:01:52+0100
Guinea,9.9456,-9.6966,Active cases,2022-03-15,35995,GIN,2022-03-16 16:01:52+0100
Guinea-Bissau,11.8037,-15.1804,Active cases,2022-03-15,7902,GNB,2022-03-16 16:01:52+0100
Guyana,4.860416,-58.93018,Active cases,2022-03-15,61932,GUY,2022-03-16 16:01:52+0100
Haiti,18.9712,-72.2852,Active cases,2022-03-15,29646,HTI,2022-03-16 16:01:52+0100
Holy See,41.9029,12.4534,Active cases,2022-03-15,29,VAT,2022-03-16 16:01:52+0100
Honduras,15.2,-86.2419,Active cases,2022-03-15,406359,HND,2022-03-16 16:01:52+0100
Hungary,47.1625,19.5033,Active cases,2022-03-15,1769709,HUN,2022-03-16 16:01:52+0100
Iceland,64.9631,-19.0208,Active cases,2022-03-15,165216,ISL,2022-03-16 16:01:52+0100
India,20.593684,78.96288,Active cases,2022-03-15,42482866,IND,2022-03-16 16:01:52+0100
Indonesia,-0.7893,113.9213,Active cases,2022-03-15,5761787,IDN,2022-03-16 16:01:52+0100
Iran,32.427908,53.688046,Active cases,2022-03-15,6990949,IRN,2022-03-16 16:01:52+0100
Iraq,33.223191,43.679291,Active cases,2022-03-15,2288834,IRQ,2022-03-16 16:01:52+0100
Ireland,53.1424,-7.6921,Active cases,2022-03-15,1353379,IRL,2022-03-16 16:01:52+0100
Israel,31.046051,34.851612,Active cases,2022-03-15,3722180,ISR,2022-03-16 16:01:52+0100
Italy,41.87194,12.56738,Active cases,2022-03-15,13332142,ITA,2022-03-16 16:01:52+0100
Jamaica,18.1096,-77.2975,Active cases,2022-03-15,125567,JAM,2022-03-16 16:01:52+0100
Japan,36.204824,138.252924,Active cases,2022-03-15,5829307,JPN,2022-03-16 16:01:52+0100
Jordan,31.24,36.51,Active cases,2022-03-15,1666220,JOR,2022-03-16 16:01:52+0100
Kazakhstan,48.0196,66.9237,Active cases,2022-03-15,1373987,KAZ,2022-03-16 16:01:52+0100
Kenya,-0.0236,37.9062,Active cases,2022-03-15,317557,KEN,2022-03-16 16:01:52+0100
Kiribati,-3.3704,-168.734,Active cases,2022-03-15,3025,KIR,2022-03-16 16:01:52+0100
"Korea, South",35.907757,127.766922,Active cases,2022-03-15,7618223,KOR,2022-03-16 16:01:52+0100
Kosovo,42.602636,20.902977,Active cases,2022-03-15,223791,XKX,2022-03-16 16:01:52+0100
Kuwait,29.31166,47.481766,Active cases,2022-03-15,623832,KWT,2022-03-16 16:01:52+0100
Kyrgyzstan,41.20438,74.766098,Active cases,2022-03-15,197784,KGZ,2022-03-16 16:01:52+0100
Laos,19.85627,102.495496,Active cases,2022-03-15,146766,LAO,2022-03-16 16:01:52+0100
Latvia,56.8796,24.6032,Active cases,2022-03-15,745233,LVA,2022-03-16 16:01:52+0100
Lebanon,33.8547,35.8623,Active cases,2022-03-15,1075627,LBN,2022-03-16 16:01:52+0100
Lesotho,-29.61,28.2336,Active cases,2022-03-15,32078,LSO,2022-03-16 16:01:52+0100
Liberia,6.428055,-9.429499,Active cases,2022-03-15,7103,LBR,2022-03-16 16:01:52+0100
Libya,26.3351,17.228331,Active cases,2022-03-15,494143,LBY,2022-03-16 16:01:52+0100
